Actor1CountryCode,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
GBR,USA,GOV,,-2.35063663075416,202003,1,https://www.dailymail.co.uk/health/article-8095533/British-grandmother-77-trapped-coronavirus-cruise-ship-complains-going-stir-crazy.html
USA,GBR,GOV,,-2.35063663075416,202003,1,https://www.dailymail.co.uk/health/article-8095533/British-grandmother-77-trapped-coronavirus-cruise-ship-complains-going-stir-crazy.html
GBR,GBR,GOV,,-1.19521912350597,202003,1,https://www.scotsman.com/health/coronavirus-hopeful-signs-nicola-sturgeon-and-boris-johnson-can-work-together-leader-comment-2444679
USA,USA,GOV,,-3.02724520686176,202003,1,https://www.reuters.com/article/us-health-coronavirus-usa/trump-says-coronavirus-will-go-away-as-pressure-grows-for-economic-relief-idUSKBN20X1ZB
USA,USA,GOV,,2.50223413762288,202003,9,https://www.ctpost.com/news/coronavirus/article/With-prodding-insurers-move-toward-free-15120595.php
USA,USA,GOV,,-3.99579390115667,202003,1,https://www.reuters.com/article/us-health-coronavirus-usa/u-s-far-behind-in-coronavirus-testing-as-cases-rise-senate-democrat-idUSKBN20X1ZB
USA,USA,GOV,,0.2932551319648,202003,1,https://dailycaller.com/2020/03/10/white-house-health-insurance-waive-coronavirus-copay/
USA,USA,GOV,,-2.1488137029757,202003,5,http://www.msn.com/en-nz/news/world/forget-about-rope-lines-secret-service-faces-unique-challenge-of-protecting-trump-from-coronavirus-exposure/ar-BB10Ykv3
USA,USA,GOV,,-2.61780104712042,202003,1,https://www.reuters.com/article/us-health-coronavirus-usa/washington-scrambles-to-aid-u-s-economy-hit-by-coronavirus-as-cases-mount-idUSKBN20X1ZB
USA,USA,GOV,,-3.02724520686176,202003,1,https://www.reuters.com/article/us-health-coronavirus-usa/trump-says-coronavirus-will-go-away-as-pressure-grows-for-economic-relief-idUSKBN20X1ZB
USA,USA,GOV,,-2.03205689836773,202003,7,http://www.msn.com/en-nz/news/world/forget-about-rope-lines-secret-service-faces-unique-challenge-of-protecting-trump-from-coronavirus-exposure/ar-BB10Ykv3
USA,USA,GOV,,-2.55905511811023,202003,1,https://in.reuters.com/article/us-health-coronavirus-trump-numbers-anal/trumps-focus-on-coronavirus-numbers-could-backfire-health-experts-say-idINKBN20W16E
