Actor1Name,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
IRAN,FRA,GOV,,0.560747663551401,202003,1,http://www.china.org.cn/world/Off_the_Wire/2020-03/05/content_75775105.htm
IRAN,FRA,GOV,,0.560747663551401,202003,1,http://www.china.org.cn/world/Off_the_Wire/2020-03/05/content_75775105.htm
IRAN,IRN,GOV,,-6.88709771116533,202003,5,https://krdo.com/news/national-world/2020/03/04/iran-to-temporarily-free-54000-prisoners-as-coronavirus-spreads/
GOVERNMENT,IND,GOV,,-0.76045627376425,202003,1,http://www.newsonair.com/Main-News-Details.aspx?id=382356
HEALTH MINIST,IRN,GOV,,-5.27777777777778,202003,1,https://silverbirdtv.com/health/71214/coronavirus-outbreak-iran-to-temporarily-free-54000-prisoners/
IRAN,IRN,GOV,,-5.27777777777778,202003,1,https://silverbirdtv.com/health/71214/coronavirus-outbreak-iran-to-temporarily-free-54000-prisoners/
WORLD HEALTH ORGANIZATION,IRN,GOV,,-6.83012259194396,202003,1,https://www.theglobeandmail.com/canada/article-how-deadly-is-the-coronavirus-it-may-take-months-to-find-out/
HEALTH OFFICIAL,KOR,GOV,,-2.87872089596227,202003,2,https://www.journalnow.com/news/state/unc-wilmington-cancels-study-in-europe-due-to-coronavirus/article_3e2daebf-247a-519d-937f-43cd1c5e0482.html
ICRC,LBN,GOV,,-2.4390243902439,202003,1,https://www.lbcgroup.tv/news/lebanon-news/505273/pm-diab-meets-with-icrc-head-in-lebanon/en
WORLD HEALTH ORGANIZATION,CHN,GOV,,-1.17647058823529,202003,1,http://www.econotimes.com/The-urban-history-that-makes-Chinas-coronavirus-lockdown-possible-1576329
HEALTH DEPARTMENT,CHN,GOV,,-2.38008191289615,202003,5,http://www.polity.org.za/article/no-sa-coronavirus-cancellations-or-travel-bans-for-now---zweli-mkhize-2020-03-04
UNITED KINGDOM,CAN,GOV,HLH,-0.70093457943925,202003,1,https://www.fortmcmurraytoday.com/news/local-news/wood-buffalo-primary-care-network-cuts-weekday-hours-for-after-hours-clinic
HEALTH OFFICIAL,USA,GOV,,-2.77777777777778,202003,1,https://www.upi.com/Top_News/US/2020/03/03/Trump-participates-in-COVID-19-roundtable/7901583262514/
MINIST OF HEALTH,ARM,GOV,,-1.48992112182296,202003,1,https://armenianweekly.com/2020/03/04/officials-locals-remain-cautious-as-no-new-coronavirus-cases-reported-in-armenia/
HEALTH DEPARTMENT,CHN,GOV,,-2.38008191289615,202003,5,http://www.polity.org.za/article/no-sa-coronavirus-cancellations-or-travel-bans-for-now---zweli-mkhize-2020-03-04
HEALTH MINIST,IND,GOV,,-3.7593984962406,202003,1,https://www.freepressjournal.in/india/coronavirus-outbreak-dial-011-23978046-to-inform-the-govt-of-any-suspected-cases
HEALTH MINIST,IND,GOV,,-4.10331384015595,202003,2,http://origin-businesstoday.intoday.in/latest/trends/coronavirus-outbreak-update-news-live-updates-govt-confirmed-cases-rise-6-pm-modi/story/397475.html
HEALTH MINIST,IND,GOV,,-4.24148003894839,202003,2,https://english.jagran.com/india/coronavirus-in-india-latest-updates-noida-schools-harsh-vardhan-pm-narendra-modi-preparedness-n-95-masks-10009365
HEALTH MINIST,IND,GOV,,-4.91259500542889,202003,2,https://indianexpress.com/article/india/coronavirus-outbreak-live-updates-delhi-hyderabad-agra-jaipur-china-6298349/
